id,detector_id,starttime,volume,speed,occupancy,countreadings,vmt,vht,delay,traveltime,resolution
14312374337,100367,2022-01-06 16:00:00-08,475,50.26,3.44,180,368.13,7.32,0.15,0.93,01:00:00
14312375558,100367,2022-01-06 17:00:00-08,442,50.66,2.93,180,342.55,6.76,0.14,0.92,01:00:00
14312376779,100367,2022-01-06 18:00:00-08,391,50.94,2.51,180,303.03,5.95,0.14,0.91,01:00:00
14312378000,100367,2022-01-06 19:00:00-08,277,51.68,1.77,180,214.68,4.15,0.12,0.9,01:00:00
14312379221,100367,2022-01-06 20:00:00-08,255,51.46,1.91,180,197.63,3.84,0.13,0.9,01:00:00
14312380442,100367,2022-01-06 21:00:00-08,187,51.29,1.1,180,144.93,2.83,0.13,0.91,01:00:00
14312381663,100367,2022-01-06 22:00:00-08,133,50.41,0.93,180,103.08,2.04,0.15,0.92,01:00:00
14312382884,100367,2022-01-06 23:00:00-08,105,49.39,0.69,180,81.38,1.65,0.17,0.94,01:00:00
14312384105,100367,2022-01-07 00:00:00-08,72,51.25,0.44,180,55.8,1.09,0.13,0.91,01:00:00
14312385326,100367,2022-01-07 01:00:00-08,57,50.05,0.53,180,44.18,0.88,0.15,0.93,01:00:00
14312386547,100367,2022-01-07 02:00:00-08,45,48.65,0.54,180,34.88,0.72,0.18,0.96,01:00:00
14312387768,100367,2022-01-07 03:00:00-08,64,49.52,0.81,180,49.6,1,0.16,0.94,01:00:00
14312388989,100367,2022-01-07 04:00:00-08,61,50.13,0.73,179,47.28,0.94,0.15,0.93,01:00:00
14312390210,100367,2022-01-07 05:00:00-08,99,50.49,0.9,180,76.73,1.52,0.15,0.92,01:00:00
14312391431,100367,2022-01-07 06:00:00-08,177,48.24,1.61,180,137.18,2.84,0.19,0.96,01:00:00
14312392652,100367,2022-01-07 07:00:00-08,227,49.41,1.75,180,175.93,3.56,0.17,0.94,01:00:00
14312393873,100367,2022-01-07 08:00:00-08,317,49.4,2.81,180,245.68,4.97,0.17,0.94,01:00:00
14312395094,100367,2022-01-07 09:00:00-08,337,51.13,2.85,180,261.18,5.11,0.13,0.91,01:00:00
14312396314,100367,2022-01-07 10:00:00-08,407,51.23,3.23,180,315.43,6.16,0.13,0.91,01:00:00
14312397537,100367,2022-01-07 11:00:00-08,471,51.99,3.91,180,365.03,7.02,0.12,0.89,01:00:00
14312398761,100367,2022-01-07 12:00:00-08,503,52.51,3.81,180,389.83,7.42,0.11,0.89,01:00:00
14312399985,100367,2022-01-07 13:00:00-08,458,52.94,3.26,177,354.95,6.7,0.1,0.88,01:00:00
14312401208,100367,2022-01-07 14:00:00-08,506,53.35,3.45,180,392.15,7.35,0.1,0.87,01:00:00
14312402431,100367,2022-01-07 15:00:00-08,588,51.88,4.43,180,455.7,8.78,0.12,0.9,01:00:00
14312403654,100367,2022-01-07 16:00:00-08,484,51.8,3.72,180,375.1,7.24,0.12,0.9,01:00:00
14312404877,100367,2022-01-07 17:00:00-08,395,52.42,2.65,180,306.13,5.84,0.11,0.89,01:00:00
14312406101,100367,2022-01-07 18:00:00-08,328,52.34,2.06,180,254.2,4.86,0.11,0.89,01:00:00
14312407324,100367,2022-01-07 19:00:00-08,268,51.36,1.68,180,207.7,4.04,0.13,0.91,01:00:00
14312408547,100367,2022-01-07 20:00:00-08,237,50.33,1.75,175,183.68,3.65,0.15,0.92,01:00:00
14312409770,100367,2022-01-07 21:00:00-08,336,51.69,2.16,179,260.4,5.04,0.12,0.9,01:00:00
14312410993,100367,2022-01-07 22:00:00-08,200,51.88,1.32,180,155,2.99,0.12,0.9,01:00:00
14312412217,100367,2022-01-07 23:00:00-08,132,53.24,0.73,174,102.3,1.92,0.1,0.87,01:00:00
14312413441,100367,2022-01-08 00:00:00-08,162,52.4,0.92,180,125.55,2.4,0.11,0.89,01:00:00
14312414664,100367,2022-01-08 01:00:00-08,84,51.27,0.56,180,65.1,1.27,0.13,0.91,01:00:00
14312415887,100367,2022-01-08 02:00:00-08,68,51.49,0.59,180,52.7,1.02,0.13,0.9,01:00:00
14312417110,100367,2022-01-08 03:00:00-08,46,49.33,0.4,180,35.65,0.72,0.17,0.94,01:00:00
14312418333,100367,2022-01-08 04:00:00-08,46,49.24,0.51,180,35.65,0.72,0.17,0.94,01:00:00
14312419556,100367,2022-01-08 05:00:00-08,50,50.4,0.45,180,38.75,0.77,0.15,0.92,01:00:00
14312420779,100367,2022-01-08 06:00:00-08,84,51.75,0.6,180,65.1,1.26,0.12,0.9,01:00:00
14312422003,100367,2022-01-08 07:00:00-08,130,51.79,0.99,180,100.75,1.95,0.12,0.9,01:00:00
14312423227,100367,2022-01-08 08:00:00-08,180,52.57,1.19,180,139.5,2.65,0.11,0.88,01:00:00
14312424451,100367,2022-01-08 09:00:00-08,341,53.45,2.24,180,264.28,4.94,0.09,0.87,01:00:00
14312425675,100367,2022-01-08 10:00:00-08,339,53.28,1.94,180,262.73,4.93,0.1,0.87,01:00:00
14312426899,100367,2022-01-08 11:00:00-08,418,53.52,2.69,180,323.95,6.05,0.09,0.87,01:00:00
14312428123,100367,2022-01-08 12:00:00-08,484,53.79,3.16,180,375.1,6.97,0.09,0.86,01:00:00
14312429347,100367,2022-01-08 13:00:00-08,515,53.5,3.44,180,399.13,7.46,0.09,0.87,01:00:00
14312430571,100367,2022-01-08 14:00:00-08,499,52.8,3.41,180,386.73,7.32,0.11,0.88,01:00:00
14312431795,100367,2022-01-08 15:00:00-08,444,53.54,2.72,180,344.1,6.43,0.09,0.87,01:00:00
14312433019,100367,2022-01-08 16:00:00-08,406,53.59,2.64,180,314.65,5.87,0.09,0.87,01:00:00
14312434245,100367,2022-01-08 17:00:00-08,348,52.28,2.18,180,269.7,5.16,0.11,0.89,01:00:00
14312435471,100367,2022-01-08 18:00:00-08,301,52.98,1.79,180,233.28,4.4,0.1,0.88,01:00:00
14312436697,100367,2022-01-08 19:00:00-08,272,52.33,1.58,180,210.8,4.03,0.11,0.89,01:00:00
14312437923,100367,2022-01-08 20:00:00-08,257,52.99,1.38,180,199.18,3.76,0.1,0.88,01:00:00
14312439149,100367,2022-01-08 21:00:00-08,213,52.72,1.23,180,165.08,3.13,0.11,0.88,01:00:00
14312440375,100367,2022-01-08 22:00:00-08,201,52.81,1.16,180,155.78,2.95,0.11,0.88,01:00:00
14312441601,100367,2022-01-08 23:00:00-08,134,53.75,0.64,179,103.85,1.93,0.09,0.87,01:00:00
14312442827,100367,2022-01-09 00:00:00-08,106,53.19,0.59,180,82.15,1.54,0.1,0.87,01:00:00
14312444053,100367,2022-01-09 01:00:00-08,63,53.44,0.33,175,48.83,0.91,0.1,0.87,01:00:00
14312445279,100367,2022-01-09 02:00:00-08,68,53.63,0.4,180,52.7,0.98,0.09,0.87,01:00:00
14312446505,100367,2022-01-09 03:00:00-08,42,54.5,0.37,180,32.55,0.6,0.08,0.85,01:00:00
14312447731,100367,2022-01-09 04:00:00-08,45,52.87,0.36,180,34.88,0.66,0.1,0.88,01:00:00
14312448957,100367,2022-01-09 05:00:00-08,53,52.68,0.32,180,41.08,0.78,0.11,0.88,01:00:00
14312450183,100367,2022-01-09 06:00:00-08,65,53.29,0.43,180,50.38,0.95,0.1,0.87,01:00:00
14312451409,100367,2022-01-09 07:00:00-08,93,53.77,0.54,180,72.08,1.34,0.09,0.86,01:00:00
14312452635,100367,2022-01-09 08:00:00-08,150,53.54,0.9,180,116.25,2.17,0.09,0.87,01:00:00
14312453861,100367,2022-01-09 09:00:00-08,218,53.84,1.28,180,168.95,3.14,0.09,0.86,01:00:00
14312455087,100367,2022-01-09 10:00:00-08,232,55.12,1.23,178,179.8,3.26,0.07,0.84,01:00:00
14312456313,100367,2022-01-09 11:00:00-08,363,53.64,2.18,180,281.33,5.24,0.09,0.87,01:00:00
14312457539,100367,2022-01-09 12:00:00-08,366,53.51,2.25,180,283.65,5.3,0.09,0.87,01:00:00
